Binomial.1.2,k_medoid_herbivore,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Notes,Food.Handling.Source,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes
Redunca_redunca,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,"Info lacking, but handbook of the mammals of the world says it is a grazer",Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Rhinoceros_sondaicus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,soft,"Technically unguligrade, but modified with thick fleshy pads to hold weight, therefore functionally more similar to digitigrade",Kubo et al. 2019,0,3,0,0,Solitary/pairs,"I cannot access the original source: Schenkel, R. & Schenkel-Hullinger, L. (1969b):The Javan rhinoceros in Ujung Kulon NatureReserve: its ecology and behaviour. Acta Tropica 26:98‰ÛÒ135. The handbook of the mammals of the world also suggests the species might have been more gregarious in the past",18,,,,,NA
Rhinoceros_unicornis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,soft,"Technically unguligrade, but modified with thick fleshy pads to hold weight, therefore functionally more similar to digitigrade",Kubo et al. 2019,0,2,0,0,Solitary/pairs,NA,17,,,,,NA
Rhinopithecus_brelichi,yes,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Estimated,14,NA,Reported Subfamily,"2,3,99",Colobin monkeys appear to be the sole primate group that has developed FG fermentation,14,NA,NA,,NA,soft,,Reported morphology genus,3,3,0,0,Mega-groups,"While the source says 'over 400' individuals, most sources agree that aggregation is common for this species, hence we call it megagroup despite not finding source for more than 500 species","14, 90",,,,,NA
Rhinopithecus_roxellana,yes,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Estimated,14,NA,Reported Subfamily,"2,3,99",Colobin monkeys appear to be the sole primate group that has developed FG fermentation,14,NA,NA,,NA,soft,,Kubo et al. 2019,2,2,0,0,Mega-groups,NA,14,,,,,NA
Rhinopithecus_strykeri,yes,Reported,"Wilson, D. E., et al., editors. 2013. Handbook of the Mammals of the World: 3. Primates. First edition. Lynx Edicions, Barcelona.",NA,NA,Estimated,14,NA,Reported Subfamily,"2,3,99",Colobin monkeys appear to be the sole primate group that has developed FG fermentation,14,NA,NA,,NA,soft,,Reported morphology genus,0,0,0,0,Gregarious,NA,14,,,,,NA
Rucervus_duvaucelii,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Rucervus_eldii,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,0,2,0,0,Solitary/pairs,NA,1,,,,,NA
Rucervus_schomburgki,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Expert Species,"Giles, F. H. (1937). The riddle of Cervus schomburgki. Journal of the Siam Society, Natural History Supplement, 40, 1â€“54. Retrieved from http://www.siamese-heritage.org/nhbsspdf/vol011-020/NHBSS_011_1b_Giles_TheRiddleOfCervus.pdf",These are reports but they are not very specific so we classify them as Expert judgements,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,NA,NA,NA,,,,,NA
Rungwecebus_kipunji,yes,Reported,Science 308: 1161-1164 (2005),NA,NA,Estimated,14,NA,Reported Family,"2, 3",NA,14,NA,NA,,NA,soft,,Reported morphology family,1,3,0,0,Gregarious,NA,14,,,,,NA
Rupicapra_pyrenaica,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Rupicapra_rupicapra,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Rusa_alfredi,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1, 25",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,1,,,,,NA
Rusa_marianna,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1, 25",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,0,Gregarious,It is not super clear how gregarious this species is. I called it gregarious based on the fact that it tends to aggregate during the rut,1,,,,,NA
Rusa_timorensis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1, 25",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Rusa_unicolor,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1, 25",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Rusingoryx_atopocranion,yes,Reported,"Palaeogeography, Palaeoclimatology, Palaeoecology 361-362: 84-93 (2012)",NA,NA,Estimated Isotopes (C13+018) Species,"Garrett, N. D., Fox, D. L., McNulty, K. P., Faith, J. T., Peppe, D. J., Van Plantinga, A., & Tryon, C. A. (2015). Stable isotope paleoecology of Late Pleistocene Middle Stone Age humans from the Lake Victoria basin, Kenya. Journal of Human Evolution, 82, 1â€“14. https://doi.org/10.1016/J.JHEVOL.2014.10.005",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Saiga_tatarica,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Proboscis for thermoregulation,,Breda 2008,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Sangamona_fugitiva,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Imputed,No data found,"""""""""""""""""Was Sangamona a
grassland deer, a grazer? The somewhat bovidlike
appearance of its teeth can hardly be regarded
as sufficient evidence"""""""""""""""" (Kurten 1979)",Reported Family,extrapolated based on extant relatives,NA,"1, 104, Kurten 1979. The stilt-legged deer Sangamona of the North-American Pleistocene. Boreas 8: 313-321",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Scelidodon_chiliensis,yes,Assumed isometric based on bone size,MastozoologÌÎ_a Neotropical 5 :87-108 (1998),Scelidotherium_leptocephalum,MastozoologÌÎ_a Neotropical 5 :87-108 (1998),Estimated Isotopes (C13+018) Species,"Domingo, L., Prado, J. L., & Alberdi, M. T. (2012). The effect of paleoecology and paleobiogeography on stable isotopes of Quaternary mammals from South America. Quaternary Science Reviews, 55, 103-113. https://doi.org/10.1016/J.QUASCIREV.2012.08.017; de Melo Franca et al. 2015. Review of feeding ecology data of Late Pleistocene mammalian herbivores from South America and discussions on niche differentiation. Earth-Science Reviews 140: 158-165",,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,Inferred from close relatives,NA,NA,,NA,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,NA,NA,NA,NA,NA,Digging/burrowing,Inferred from sister genus Valgipes,,,NA
Scelidotherium_leptocephalum,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Dental wear (mesowear) Species,"Saarinen, J., & Karme, A. (2017). Tooth wear and diets of extant and fossil xenarthrans (Mammalia, Xenarthra) â€“ Applying a new mesowear approach. Palaeogeography, Palaeoclimatology, Palaeoecology, 476, 42â€“54. https://doi.org/10.1016/j.palaeo.2017.03.027",,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,NA,Prehensile lip,,Bargo et al. 2005. Journal of Morphology,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,NA,NA,NA,NA,NA,Digging/burrowing,Morphology,,Pujos et al. 2012,NA
Semnopithecus_ajax,yes,Reported,"Wilson, D. E., et al., editors. 2013. Handbook of the Mammals of the World: 3. Primates. First edition. Lynx Edicions, Barcelona.",NA,NA,Imputed,NA,Handbook of the mammals of the worlds(source 14) says that the diet should be similar to that of S. hector,Reported Subfamily,"2,3,99",Colobin monkeys appear to be the sole primate group that has developed FG fermentation,14,NA,NA,,NA,soft,,Reported morphology genus,0,0,0,0,Gregarious,NA,91,,,,,NA
Semnopithecus_dussumieri,yes,Reported,"Mittermeier RA, Rylands AB,  Wilson DE Handbook of the Mammals of the World - Volume 3 (2013) (as S. hypoleucus northern form)",NA,NA,Imputed,NA,NA,Reported Subfamily,"2,3,99",Colobin monkeys appear to be the sole primate group that has developed FG fermentation,EltonTraits1.0,NA,NA,,NA,soft,,Reported morphology genus,0,0,0,0,Gregarious,NA,extrapolated.genus.mode,,,,,NA
Semnopithecus_entellus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,14,NA,Reported Subfamily,"2,3,99",Colobin monkeys appear to be the sole primate group that has developed FG fermentation,14,NA,NA,,NA,soft,,Kubo et al. 2019,0,0,0,0,Gregarious,NA,14,,,,,NA
Semnopithecus_hector,yes,Reported,"Mittermeier RA, Rylands AB,  Wilson DE Handbook of the Mammals of the World - Volume 3 (2013)",NA,NA,Estimated,14,NA,Reported Subfamily,"2,3,99",Colobin monkeys appear to be the sole primate group that has developed FG fermentation,14,NA,NA,,NA,soft,,Reported morphology genus,0,0,0,0,Gregarious,NA,14,,,,,NA
Semnopithecus_priam,yes,Reported,"Mittermeier RA, Rylands AB,  Wilson DE Handbook of the Mammals of the World - Volume 3 (2013)",NA,NA,Estimated,14,NA,Reported Subfamily,"2,3,99",Colobin monkeys appear to be the sole primate group that has developed FG fermentation,14,NA,NA,,NA,soft,,Reported morphology genus,0,3,0,0,Gregarious,NA,14,,,,,NA
Semnopithecus_schistaceus,yes,Reported,"Mittermeier RA, Rylands AB,  Wilson DE Handbook of the Mammals of the World - Volume 3 (2013)",NA,NA,Estimated,14,NA,Reported Subfamily,"2,3,99",Colobin monkeys appear to be the sole primate group that has developed FG fermentation,14,NA,NA,,NA,soft,,Reported morphology genus,0,0,0,0,Gregarious,NA,14,,,,,NA
Simosthenurus_maddocki,yes,Reported,"Johnson, C. N., et al. 2004. Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology 29: 553-557.",NA,NA,Estimated Expert Species,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857","All members described as browsers, no more specific info",Reported Family,extrapolated based on extant relatives,NA,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Forest,NA,,NA,hoofed,Monodactyl hoof-like 'unguligrade',Prideaux et al. 2009,NA,3,NA,NA,NA,NA,NA,,,,,NA
Simosthenurus_occidentalis,yes,Reported,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Estimated Expert Species,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857","All members described as browsers, no more specific info",Reported Family,extrapolated based on extant relatives,NA,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Mesic Forest,NA,,NA,hoofed,Monodactyl hoof-like 'unguligrade',Prideaux et al. 2009,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Simosthenurus_pales,yes,Reported,"Johnson, C. N., et al. 2004. Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology 29: 553-557.",NA,NA,Estimated Expert Species,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857","All members described as browsers, no more specific info",Reported Family,extrapolated based on extant relatives,NA,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Forest,NA,,NA,hoofed,Monodactyl hoof-like 'unguligrade',Prideaux et al. 2009,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Sinomegaceros_ordosianus,yes,Imputed,PHYLACINE 1.2,NA,NA,Estimated Expert Species,"Dong, W., Hou, Y., Yang, Z., Zhang, L., Zhang, S., & Liu, Y. (2014). Late Pleistocene mammalian fauna from Wulanmulan Paleolithic Site, Nei Mongol, China. Quaternary International, 347, 139â€“147. https://doi.org/10.1016/J.QUAINT.2014.05.051",but could check the two refs (books) in here: https://www.sciencedirect.com/science/article/pii/S1040618214003619#bib30,Reported Family,extrapolated based on extant relatives,NA,"1, 104",No data; inferred,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Sinomegaceros_yabei,yes,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Estimated Craniodental Species,"van der Made, J., & Tong, H. W. (2008). Phylogeny of the giant deer with palmate brow tines Megaloceros from west and Sinomegaceros from east Eurasia. Quaternary International, 179(1), 135â€“162. https://doi.org/10.1016/J.QUAINT.2007.08.017","morphology (enamel thickness, the position of the mandibular condyle, tooth proportions, and the degree of â€_Ã„Ãºmolarisationâ€_Ã„Ã_ of the P4)",Reported Family,extrapolated based on extant relatives,NA,"1, 104, Iwase et al. 2012. Timing of megafaunal extinction in the late Pleistocene on the Japanese archipelago",temperate forest species,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Sivacobus_sankaliai,yes,Imputed,PHYLACINE 1.2,NA,NA,Imputed,No data found,NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Soergelia_minor,yes,Imputed,PHYLACINE 1.2,NA,NA,Estimated Isotopes (C13+018+N15) Species,"Palmqvist, P., PÃ©rez-Claros, J. A., Janis, C. M., & GrÃ¶cke, D. R. (2008). Tracing the ecophysiology of ungulates and predator-prey relationships in an early Pleistocene large mammal community. Palaeogeography, Palaeoclimatology, Palaeoecology, 266(1â€“2), 95â€“111. https://doi.org/10.1016/j.palaeo.2008.03.015",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Spirocerus_kiakhtensis,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Expert Species,"Smith, F. A., Smith, R. E. E., Lyons, S. K., & Payne, J. L. (2018). Body size downgrading of mammals over the late Quaternary. Science, 360(6386), 310-313.",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Stegodon_florensis,yes,Reported,Quarternary International 182: 16-48 (2008),NA,NA,Estimated Isotopes (C13+018) Species,"Puspaningrum, M., Van Den Bergh, G., Chivas, A., Setiabudi, E., & Kurniawan, I. (2014). Preliminary results of dietary and environmental reconstructions of Early to Middle Pleistocene Stegodons from the So â€™ a Basin of Flores , Indonesia , based on enamel stable isotope records. Abstract Book of the VIth International Conference on Mammoths and Their Relatives. SASG Special Volume 102, 102, 164â€“165.","Conference abstract, small sample size, methods barely discussed.",Reported Family,extrapolated based on extant relatives,NA,Inferred,NA,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Stegodon_orientalis,yes,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Estimated Dental wear (microwear) Genus,"Zhang, H., Wang, Y., Janis, C. M., Goodall, R. H., & Purnell, M. A. (2017). An examination of feeding ecology in Pleistocene proboscideans from southern China (Sinomastodon, Stegodon, Elephas), by means of dental microwear texture analysis. Quaternary International, 445, 60â€“70. https://doi.org/10.1016/J.QUAINT.2016.07.011","""""""""""""""""Primarily a browser"""""""""""""""" Paper also includes details on other proboscideans, but none from LP",Reported Family,extrapolated based on extant relatives,NA,Inferred,NA,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,0,0,NA,NA,NA,,,,,NA
Stegodon_trigonocephalus,yes,Reported,Quarternary International 182: 16-48 (2008),NA,NA,Estimated Isotopes (C13+018) Species,"Puspaningrum, M., Van Den Bergh, G., Chivas, A., Setiabudi, E., & Kurniawan, I. (2014). Preliminary results of dietary and environmental reconstructions of Early to Middle Pleistocene Stegodons from the So â€™ a Basin of Flores , Indonesia , based on enamel stable isotope records. Abstract Book of the VIth International Conference on Mammoths and Their Relatives. SASG Special Volume 102, 102, 164â€“165.","S. trigonocephalus samples only from island of Java. Conference abstract, small sample size, methods barely discussed.",Reported Family,extrapolated based on extant relatives,NA,Inferred,NA,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Stephanorhinus_hemitoechus,yes,Reported,Zona arqueolÌ__gica 4: 464-479 (2004),NA,NA,Estimated Craniodental + Dental wear (mesowear) Species,"van Asperen, E. N., & Kahlke, R.-D. (2015). Dietary variation and overlap in Central and Northwest European Stephanorhinus kirchbergensis and S. hemitoechus (Rhinocerotidae, Mammalia) influenced by habitat diversity: â€œYouâ€™ll have to take pot luck!â€ù (proverb). Quaternary Science Reviews, 107, 47â€“61. https://doi.org/10.1016/J.QUASCIREV.2014.10.001",Grazer-mixed feeder,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,NA,Mouth,,NA,soft,"Technically unguligrade, but modified with thick fleshy pads to hold weight, therefore functionally more similar to digitigrade",Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Stephanorhinus_kirchbergensis,yes,Reported,Zona arqueolÌ__gica 4: 464-479 (2004),NA,NA,Estimated Craniodental + Dental wear (mesowear) Species,"van Asperen, E. N., & Kahlke, R.-D. (2015). Dietary variation and overlap in Central and Northwest European Stephanorhinus kirchbergensis and S. hemitoechus (Rhinocerotidae, Mammalia) influenced by habitat diversity: â€œYouâ€™ll have to take pot luck!â€ù (proverb). Quaternary Science Reviews, 107, 47â€“61. https://doi.org/10.1016/J.QUASCIREV.2014.10.001",Mixed-feeders,Reported Family,extrapolated based on extant relatives,NA,"Pushkina, Diana, Herv_ Bocherens, and Reinhard Ziegler. Unexpected palaeoecological features of the Middle and Late Pleistocene large herbivores in southwestern Germany revealed by stable isotopic abundances in tooth enamel. Quaternary International 339 (2014): 164-178.",NA,Mouth,,NA,soft,"Technically unguligrade, but modified with thick fleshy pads to hold weight, therefore functionally more similar to digitigrade",Reported morphology Family,NA,NA,NA,NA,Solitary,Predominantly solitary lifestyle,"Gaudzinski, Sabine. Monospecific or species-dominated faunal assemblages during the Middle Paleolithic in Europe. Transitions before the transition. Springer, Boston, MA, 2006. 137-147.",,,,,NA
Sthenurus_andersoni,yes,Reported,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Estimated Isotopes (C13 + 018) + Dental wear (microwear) Genus,"DeSantis, L. R. G., Field, J. H., Wroe, S., & Dodson, J. R. (2017). Dietary responses of Sahul (Pleistocene Australiaâ€“New Guinea) megafauna to climate and environmental change. Paleobiology, 43(02), 181â€“195. https://doi.org/10.1017/pab.2016.50",Genus level diet only,Reported Family,extrapolated based on extant relatives,NA,"DeSantis et al. 2017 from DeSantis, L. R. G., Field, J. H., Wroe, S., & Dodson, J. R. (2017). Dietary responses of Sahul (Pleistocene Australiaâ€“New Guinea) megafauna to climate and environmental change. Paleobiology, 43(02), 181â€“195. https://doi.org/10.1017/pab.2016.50","Dense, closed canopy woodland",NA,,NA,hoofed,Monodactyl hoof-like 'unguligrade',Wells & Tedford 1995,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Sthenurus_atlas,yes,Reported,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Estimated Isotopes (C13 + 018) + Dental wear (microwear) Genus,"DeSantis, L. R. G., Field, J. H., Wroe, S., & Dodson, J. R. (2017). Dietary responses of Sahul (Pleistocene Australiaâ€“New Guinea) megafauna to climate and environmental change. Paleobiology, 43(02), 181â€“195. https://doi.org/10.1017/pab.2016.50",Genus level diet only,Reported Family,extrapolated based on extant relatives,NA,"DeSantis et al. 2017 from DeSantis, L. R. G., Field, J. H., Wroe, S., & Dodson, J. R. (2017). Dietary responses of Sahul (Pleistocene Australiaâ€“New Guinea) megafauna to climate and environmental change. Paleobiology, 43(02), 181â€“195. https://doi.org/10.1017/pab.2016.50","Dense, closed canopy woodland",NA,,NA,hoofed,Monodactyl hoof-like 'unguligrade',Wells & Tedford 1995,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Sthenurus_stirlingi,yes,Reported,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Estimated Isotopes (C13 + 018) + Dental wear (microwear) Genus,"DeSantis, L. R. G., Field, J. H., Wroe, S., & Dodson, J. R. (2017). Dietary responses of Sahul (Pleistocene Australiaâ€“New Guinea) megafauna to climate and environmental change. Paleobiology, 43(02), 181â€“195. https://doi.org/10.1017/pab.2016.50",Genus level diet only,Reported Family,extrapolated based on extant relatives,NA,"DeSantis et al. 2017 from DeSantis, L. R. G., Field, J. H., Wroe, S., & Dodson, J. R. (2017). Dietary responses of Sahul (Pleistocene Australiaâ€“New Guinea) megafauna to climate and environmental change. Paleobiology, 43(02), 181â€“195. https://doi.org/10.1017/pab.2016.50","Dense, closed canopy woodland",NA,,NA,hoofed,Monodactyl hoof-like 'unguligrade',Wells & Tedford 1995,NA,NA,NA,NA,NA,NA,NA,,,,,NA
